date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:56	116809/116809	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Apr%202024%2016:45:58%20GMT	https://themeperch.net/html/politixy/home-1.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/home-1.html	(from )
16:03:58	115/115	---M-Z	200	added ('OK')	text/plain	date:Fri,%2009%20Aug%202024%2010:34:00%20GMT	https://themeperch.net/robots.txt		(from )
16:03:59	15406/15406	---M--	200	added ('OK')	image/x-icon	date:Thu,%2004%20Apr%202024%2008:45:54%20GMT	https://themeperch.net/html/politixy/assets/images/fav-icon/favicon.ico	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/assets/images/fav-icon/favicon.ico	(from https://themeperch.net/html/politixy/home-1.html)
16:03:59	26664/26664	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Mar%202024%2021:21:40%20GMT	https://themeperch.net/html/politixy/assets/css/animate.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/assets/css/animate.css	(from https://themeperch.net/html/politixy/home-1.html)
16:04:00	16478/16478	---M-Z	200	added ('OK')	text/css	date:Thu,%2029%20Feb%202024%2022:01:52%20GMT	https://themeperch.net/html/politixy/assets/css/swiper-bundle.min.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/assets/css/swiper-bundle.min.css	(from https://themeperch.net/html/politixy/home-1.html)
16:04:00	8002/8002	---M-Z	200	added ('OK')	text/css	date:Thu,%2029%20Feb%202024%2022:01:24%20GMT	https://themeperch.net/html/politixy/assets/css/magnific-popup.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/assets/css/magnific-popup.css	(from https://themeperch.net/html/politixy/home-1.html)
16:04:01	14806/14806	---M-Z	200	added ('OK')	text/css	date:Thu,%2021%20Sep%202023%2023:42:52%20GMT	https://themeperch.net/html/politixy/assets/css/leaflet.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/assets/css/leaflet.css	(from https://themeperch.net/html/politixy/home-1.html)
16:04:01	6186/6186	---M-Z	200	added ('OK')	text/css	date:Sat,%2029%20Sep%202018%2000:42:58%20GMT	https://themeperch.net/html/politixy/assets/css/leaflet-routing-machine.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/assets/css/leaflet-routing-machine.css	(from https://themeperch.net/html/politixy/home-1.html)
16:04:02	465421/465421	---M-Z	200	added ('OK')	text/css	date:Fri,%2026%20Apr%202024%2018:30:12%20GMT	https://themeperch.net/html/politixy/assets/css/style.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/assets/css/style.css	(from https://themeperch.net/html/politixy/home-1.html)
16:04:03	36200/36200	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Apr%202024%2017:11:42%20GMT	https://themeperch.net/html/politixy/index.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/index.html	(from https://themeperch.net/html/politixy/home-1.html)
16:04:03	4890/4890	---M--	200	added ('OK')	image/png	date:Thu,%2029%20Feb%202024%2017:44:42%20GMT	https://themeperch.net/html/politixy/assets/images/logo-dark.png	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/assets/images/logo-dark.png	(from https://themeperch.net/html/politixy/home-1.html)
16:04:04	91165/91165	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Apr%202024%2018:30:06%20GMT	https://themeperch.net/html/politixy/home-2.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/home-2.html	(from https://themeperch.net/html/politixy/home-1.html)
16:04:04	141578/141578	---M-Z	200	added ('OK')	text/html	date:Fri,%2026%20Apr%202024%2016:30:42%20GMT	https://themeperch.net/html/politixy/home-3.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/home-3.html	(from https://themeperch.net/html/politixy/home-1.html)
16:04:04	56675/56675	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2020:04:08%20GMT	https://themeperch.net/html/politixy/about-us-1.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/about-us-1.html	(from https://themeperch.net/html/politixy/home-1.html)
16:04:05	87776/87776	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2020:04:08%20GMT	https://themeperch.net/html/politixy/campaign-1.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/campaign-1.html	(from https://themeperch.net/html/politixy/home-1.html)
16:04:05	57527/57527	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2020:04:08%20GMT	https://themeperch.net/html/politixy/history.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/history.html	(from https://themeperch.net/html/politixy/home-1.html)
16:04:06	87388/87388	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2020:12:04%20GMT	https://themeperch.net/html/politixy/about-us-2.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/about-us-2.html	(from https://themeperch.net/html/politixy/home-1.html)
16:04:06	54427/54427	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2020:04:08%20GMT	https://themeperch.net/html/politixy/gallery-1.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/gallery-1.html	(from https://themeperch.net/html/politixy/home-1.html)
16:04:06	53154/53154	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2020:04:08%20GMT	https://themeperch.net/html/politixy/gallery-2.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/gallery-2.html	(from https://themeperch.net/html/politixy/home-1.html)
16:04:07	65882/65882	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2020:04:08%20GMT	https://themeperch.net/html/politixy/team.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/team.html	(from https://themeperch.net/html/politixy/home-1.html)
16:04:07	55365/55365	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2020:24:06%20GMT	https://themeperch.net/html/politixy/team-single.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/team-single.html	(from https://themeperch.net/html/politixy/home-1.html)
16:04:07	53339/53339	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2020:08:42%20GMT	https://themeperch.net/html/politixy/contact-2.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/contact-2.html	(from https://themeperch.net/html/politixy/home-1.html)
16:04:08	62479/62479	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2020:04:08%20GMT	https://themeperch.net/html/politixy/product.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/product.html	(from https://themeperch.net/html/politixy/home-1.html)
16:04:08	66589/66589	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2020:22:26%20GMT	https://themeperch.net/html/politixy/product-single.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/product-single.html	(from https://themeperch.net/html/politixy/home-1.html)
16:04:09	76467/76467	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2020:12:30%20GMT	https://themeperch.net/html/politixy/campaign-2.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/campaign-2.html	(from https://themeperch.net/html/politixy/home-1.html)
16:04:09	64350/64350	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2020:04:08%20GMT	https://themeperch.net/html/politixy/campaign-single.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/campaign-single.html	(from https://themeperch.net/html/politixy/home-1.html)
16:04:09	53174/53174	---M-Z	200	added ('OK')	text/html	date:Mon,%2022%20Apr%202024%2020:04:08%20GMT	https://themeperch.net/html/politixy/donate-1.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/Politicity%20HTML/themeperch.net/html/politixy/donate-1.html	(from https://themeperch.net/html/politixy/home-1.html)
