date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:48:30	60689/60689	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2006:59:06%20GMT	https://themeim.com/demo/senatory/index.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/senatory%20HTML/themeim.com/demo/senatory/index.html	(from )
16:48:31	31/31	---M--	200	added ('OK')	text/plain	date:Sun,%2005%20Feb%202023%2007:00:03%20GMT	https://themeim.com/robots.txt		(from )
16:48:32	357/357	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Feb%202022%2009:22:36%20GMT	https://themeim.com/demo/senatory/assets/img/favicon.png	F:/Websites%20Raw/Political%20Portfolio%20HTML/senatory%20HTML/themeim.com/demo/senatory/assets/img/favicon.png	(from https://themeim.com/demo/senatory/index.html)
16:48:32	101911/101911	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Oct%202021%2002:20:40%20GMT	https://themeim.com/demo/senatory/assets/css/animate.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/senatory%20HTML/themeim.com/demo/senatory/assets/css/animate.css	(from https://themeim.com/demo/senatory/index.html)
16:48:33	197092/197092	---M-Z	200	added ('OK')	text/css	date:Wed,%2005%20Jan%202022%2002:46:04%20GMT	https://themeim.com/demo/senatory/assets/css/bootstrap.min.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/senatory%20HTML/themeim.com/demo/senatory/assets/css/bootstrap.min.css	(from https://themeim.com/demo/senatory/index.html)
16:48:33	7998/7998	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Oct%202021%2002:20:40%20GMT	https://themeim.com/demo/senatory/assets/css/magnific-popup.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/senatory%20HTML/themeim.com/demo/senatory/assets/css/magnific-popup.css	(from https://themeim.com/demo/senatory/index.html)
16:48:33	5147/5147	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Oct%202021%2002:20:40%20GMT	https://themeim.com/demo/senatory/assets/css/owl.carousel.min.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/senatory%20HTML/themeim.com/demo/senatory/assets/css/owl.carousel.min.css	(from https://themeim.com/demo/senatory/index.html)
16:48:33	57083/57083	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Oct%202021%2002:20:40%20GMT	https://themeim.com/demo/senatory/assets/css/font-awesome.min.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/senatory%20HTML/themeim.com/demo/senatory/assets/css/font-awesome.min.css	(from https://themeim.com/demo/senatory/index.html)
16:48:34	3169/3169	---M-Z	200	added ('OK')	text/css	date:Mon,%2029%20Nov%202021%2007:49:54%20GMT	https://themeim.com/demo/senatory/assets/css/iconmoon.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/senatory%20HTML/themeim.com/demo/senatory/assets/css/iconmoon.css	(from https://themeim.com/demo/senatory/index.html)
16:48:34	95282/95282	---M-Z	200	added ('OK')	text/css	date:Sat,%2030%20Oct%202021%2002:20:40%20GMT	https://themeim.com/demo/senatory/assets/css/hover-min.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/senatory%20HTML/themeim.com/demo/senatory/assets/css/hover-min.css	(from https://themeim.com/demo/senatory/index.html)
16:48:35	366557/366557	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Jun%202022%2008:18:04%20GMT	https://themeim.com/demo/senatory/assets/css/style.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/senatory%20HTML/themeim.com/demo/senatory/assets/css/style.css	(from https://themeim.com/demo/senatory/index.html)
16:48:35	142630/142630	---M-Z	200	added ('OK')	text/css	date:Mon,%2020%20Jun%202022%2008:05:22%20GMT	https://themeim.com/demo/senatory/assets/css/responsive.css	F:/Websites%20Raw/Political%20Portfolio%20HTML/senatory%20HTML/themeim.com/demo/senatory/assets/css/responsive.css	(from https://themeim.com/demo/senatory/index.html)
16:48:36	20014/20014	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Feb%202022%2009:23:08%20GMT	https://themeim.com/demo/senatory/assets/img/poll-img.png	F:/Websites%20Raw/Political%20Portfolio%20HTML/senatory%20HTML/themeim.com/demo/senatory/assets/img/poll-img.png	(from https://themeim.com/demo/senatory/index.html)
16:48:36	2837/2837	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Feb%202022%2009:22:58%20GMT	https://themeim.com/demo/senatory/assets/img/logo.png	F:/Websites%20Raw/Political%20Portfolio%20HTML/senatory%20HTML/themeim.com/demo/senatory/assets/img/logo.png	(from https://themeim.com/demo/senatory/index.html)
16:48:36	59587/59587	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2007:23:04%20GMT	https://themeim.com/demo/senatory/index-02.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/senatory%20HTML/themeim.com/demo/senatory/index-02.html	(from https://themeim.com/demo/senatory/index.html)
16:48:37	66464/66464	---M-Z	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2007:23:16%20GMT	https://themeim.com/demo/senatory/index-03.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/senatory%20HTML/themeim.com/demo/senatory/index-03.html	(from https://themeim.com/demo/senatory/index.html)
16:48:37	56725/56725	---M-Z	200	added ('OK')	text/html	date:Sun,%2011%20Sep%202022%2011:51:36%20GMT	https://themeim.com/demo/senatory/index-04.html	F:/Websites%20Raw/Political%20Portfolio%20HTML/senatory%20HTML/themeim.com/demo/senatory/index-04.html	(from https://themeim.com/demo/senatory/index.html)
